id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
61,All India,Urban,HSS (I-XII),Kendriya Vidyalaya / Central School,10,15,34457,38620,36134,40912,35659,41082,35715,41886,36378,42579,36318,43133,35839,43492,35456,43574,34836,43443,34281,41958,31705,38488,30172,34554
62,All India,Rural,HSS (VI-XII),Kendriya Vidyalaya / Central School,0,0,0,0,0,0,0,0,0,0,0,0,15,26,11,30,19,21,17,27,13,24,8,10,9,3
63,All India,Rural,PS (I-V),Kendriya Vidyalaya / Central School,0,0,146,180,146,180,129,172,139,154,113,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,All India,Urban,PS (I-V),Kendriya Vidyalaya / Central School,0,0,107,105,91,116,93,108,83,112,105,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,All India,Rural,SS (I-X),Kendriya Vidyalaya / Central School,0,0,2000,2344,2061,2436,2093,2308,2078,2436,2066,2416,1959,2320,1952,2365,1918,2221,1757,2146,1443,1775,0,0,0,0
66,All India,Urban,SS (I-X),Kendriya Vidyalaya / Central School,0,0,2826,3206,3100,3327,3094,3689,3149,3637,3093,3638,2923,3749,3000,3490,2953,3500,2884,3337,2540,2949,0,0,0,0
67,All India,Rural,SS (VI-X),Kendriya Vidyalaya / Central School,0,0,0,0,0,0,0,0,0,0,0,0,34,39,47,47,32,23,28,35,21,25,0,0,0,0
68,All India,Rural,UPS (I-VIII),Kendriya Vidyalaya / Central School,0,0,622,753,608,800,598,789,582,809,573,787,581,747,419,635,307,414,0,0,0,0,0,0,0,0
69,All India,Urban,UPS (I-VIII),Kendriya Vidyalaya / Central School,0,0,518,609,567,564,504,614,493,606,493,607,447,574,366,550,190,242,0,0,0,0,0,0,0,0
70,All India,Rural,HSS (I-XII),Local body,232,290,380,528,393,599,434,682,455,648,1509,1869,2049,2389,1998,2465,2528,3001,3292,3897,3350,3856,3223,3444,3416,3699
71,All India,Urban,HSS (I-XII),Local body,1140,956,1566,1714,1550,1787,1677,1907,1710,2000,3285,4003,4462,4851,4480,5134,5446,6260,6919,6991,6916,7140,9391,7092,8945,7057
